baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000120	293.839899226011	2.01615217300968	0.603744048770475	3.33941539815685	0.000839549190766608	0.0424423711869807
ENSMUSG00000000142	742.029204088661	1.346217194723	0.354574549853057	3.79671128478031	0.000146628393954301	0.0158486836583398
ENSMUSG00000000247	365.077514336558	3.80877447061225	0.905133447138735	4.20797008734167	2.57674965610351e-05	0.00494473000333496
ENSMUSG00000000402	71.9901758673009	1.88593554887328	0.350217197419101	5.38504551681511	7.2426317901503e-08	5.92195362806811e-05
ENSMUSG00000000435	40.4562391014149	-2.02500551517361	0.607405357846335	-3.33386179264804	0.000856492037927514	0.0427246399609146
ENSMUSG00000001349	163.189400597161	2.39342739717471	0.710410215369383	3.36907795720565	0.000754200943078427	0.0407348710353045
ENSMUSG00000001507	1290.99988104539	1.91160434199565	0.377514331556204	5.06366032281626	4.1128219292291e-07	0.000231983074202962
ENSMUSG00000001517	247.655529818242	2.51121389159139	0.735285590915668	3.41529049748427	0.000637140212311113	0.0364196317104036
ENSMUSG00000001855	903.398548378648	0.701040605846771	0.213484097421812	3.28380715150704	0.00102414976800345	0.0482429922042983
ENSMUSG00000002020	269.279891554651	2.64303022953031	0.567879860017248	4.65420666520913	3.25230475888511e-06	0.00107303233851918
ENSMUSG00000002210	576.854124581736	0.76445174699773	0.222373348087377	3.43769500064978	0.000586688118471983	0.0346794669926638
ENSMUSG00000002588	201.309333832415	-2.69192814944755	0.631449040949543	-4.26309642564277	2.01613464288147e-05	0.00403355618021584
ENSMUSG00000002799	3530.99274990378	1.45271102284339	0.416421348949456	3.48856038843415	0.000485629111676614	0.0308840183532849
ENSMUSG00000002980	4533.9588867485	1.49671678419079	0.310875132960517	4.81452720240857	1.47548804851924e-06	0.000630637005464838
ENSMUSG00000003477	3664.91867383911	-3.95841036100567	0.63529704887086	-6.23080237511117	4.64052206322048e-10	7.27247149341037e-07
ENSMUSG00000003644	651.961925255731	1.2980900442071	0.362051704376438	3.58537200216419	0.000336598062036233	0.0241224907797669
ENSMUSG00000004364	3868.93560686341	-0.658204468452228	0.195271406795552	-3.37071606772088	0.000749730866233607	0.0407348710353045
ENSMUSG00000004814	409.513933367541	-2.42855060304479	0.585339482725074	-4.14896085898487	3.33987905196414e-05	0.00592544957087147
ENSMUSG00000005899	804.970166141381	0.688834178920493	0.193609053622114	3.55786140179662	0.000373886491846055	0.0255683976932979
ENSMUSG00000006269	17.2688540935073	4.9551023302718	1.16827525324263	4.24138259927922	2.22147080214645e-05	0.00439757683212274
ENSMUSG00000006398	335.291250600264	3.1238032843068	0.872206584049067	3.58149473007311	0.000341634030407782	0.0242444134937689
ENSMUSG00000006462	187.087739332124	-1.49922637684319	0.440590122498665	-3.40276892350833	0.000667066719184142	0.0377857130149909
ENSMUSG00000006519	726.731492020836	-0.988796144330068	0.257908747995038	-3.83389920666472	0.000126127840556997	0.014917988487515
ENSMUSG00000006930	91.6374337722819	1.37020064589855	0.408377121212498	3.35523361796158	0.000792979865932866	0.0410663943548429
ENSMUSG00000009097	463.864236204795	2.00127351187535	0.583900703532492	3.42742096347549	0.000609343654737603	0.0354777609009144
ENSMUSG00000009566	650.536616335622	1.00400459697691	0.280727641773299	3.57643654409954	0.00034830981617533	0.024625242116516
ENSMUSG00000009681	846.405714592198	1.12413107446218	0.319717517709037	3.51601339368966	0.000438078883802702	0.0287019150533619
