baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000204	220.500702499608	-2.20245310089028	0.396012908881295	-5.56156895771918	2.67359994187046e-08	7.78560285829225e-05
ENSMUSG00000000247	632.556481488754	1.58684682899758	0.422586649244983	3.755080364779	0.000173285867523958	0.0429426976689369
ENSMUSG00000005057	350.956721362696	-0.913766643265493	0.234264508637273	-3.90057652600009	9.59638852815818e-05	0.0296143879294684
ENSMUSG00000006014	91.8948989126157	-2.66030442771152	0.691774018772667	-3.84562639752123	0.000120244859343398	0.0336279373528598
ENSMUSG00000007039	777.494206337012	0.956392425199432	0.225525995517893	4.24071922619472	2.22804702322526e-05	0.0102465406990326
ENSMUSG00000009350	24.4904652191449	-7.08474238294911	1.86006864641824	-3.80886070876552	0.000139608572339069	0.0369510515276611
ENSMUSG00000009585	637.236408621661	-1.9459893615041	0.48108803854808	-4.04497556700242	5.23285813190531e-05	0.0189989471999615
ENSMUSG00000011632	1990.2811616749	6.47694979741062	1.32982071299248	4.8705436260168	1.1129162466469e-06	0.00128404476745994
ENSMUSG00000014361	736.341043183811	-0.91404778739579	0.239030147856281	-3.82398536583497	0.000131311712194534	0.035756524787709
ENSMUSG00000016496	690.214975272679	-1.71932788191943	0.331982576481675	-5.17897023434402	2.23114062034086e-07	0.000364007058052539
ENSMUSG00000018986	43.4005943785279	-2.2693976116491	0.527385692356323	-4.30310803751537	1.68418672005484e-05	0.00850103516378898
ENSMUSG00000019906	20.2586894242844	-2.52657045025008	0.592924941703699	-4.26119778835797	2.03334177782539e-05	0.00956363820274918
ENSMUSG00000020641	462.341410466665	-2.27666368641582	0.414221352230852	-5.49624898415907	3.87954656781207e-08	8.02872162208707e-05
ENSMUSG00000020709	189.008781755605	-2.29831631951912	0.482448395700198	-4.7638593889062	1.89924876090703e-06	0.00173221818548666
ENSMUSG00000021490	45.7361612958643	-5.24378576917548	1.08644467266348	-4.82655573828718	1.3891452808714e-06	0.00143741807938168
ENSMUSG00000022613	19.714770941714	-4.49873497140649	1.14858567390506	-3.91676047648348	8.97468381852889e-05	0.0285740125576085
ENSMUSG00000022986	6894.01776942493	4.30527765220643	1.12725072572198	3.81927245994806	0.00013384586003336	0.0359732477063686
ENSMUSG00000023914	13.7496889517078	-7.22193529552978	1.64481358060033	-4.39073180128649	1.12969812180891e-05	0.00708457655479858
ENSMUSG00000023968	179.999436197121	1.24849424928876	0.328733460739167	3.79789220872583	0.000145931755301695	0.0377507209496073
ENSMUSG00000024222	3248.4226511536	-1.69883960174401	0.405677792881052	-4.18765737626197	2.81848575631399e-05	0.0121517839014412
ENSMUSG00000024694	57.3489526032562	-8.31801843804979	1.90151155303796	-4.37442434928174	1.21753335710508e-05	0.00741083906626168
ENSMUSG00000025127	116.121868853695	-4.7003589300297	1.16135953945532	-4.04729006852965	5.18140164710872e-05	0.0189989471999615
ENSMUSG00000025270	978.751103654183	-4.38091159895473	1.05424973130552	-4.1554780322587	3.24608134339243e-05	0.0132585157882643
ENSMUSG00000027360	198.214786634339	-1.42172322432781	0.336132761546775	-4.22964788610756	2.34057372347664e-05	0.0105300376537715
ENSMUSG00000027875	2462.47184674046	-3.12732957143843	0.645205449938568	-4.84702906916889	1.25324070206855e-06	0.00136504296470045
ENSMUSG00000027962	758.01953519403	-2.98855510214074	0.79273900702641	-3.7699104946922	0.00016330610323055	0.0412148756872712
ENSMUSG00000028270	1926.14841829256	-1.5937561260572	0.32727007052771	-4.86984991779826	1.11683043316158e-06	0.00128404476745994
ENSMUSG00000029298	938.232674442301	-2.12488652345141	0.369076350495926	-5.75730880777434	8.54654806196493e-09	4.42177030355911e-05
ENSMUSG00000029348	83.8105744086098	1.42090359578669	0.350411050713088	4.05496228756239	5.01423918903323e-05	0.0189989471999615
ENSMUSG00000029417	417.428894953396	-2.33466219858625	0.576384914758903	-4.05052620012241	5.11025871704616e-05	0.0189989471999615
ENSMUSG00000030945	30.420931960952	-5.88574284260252	1.35236950242491	-4.35217063979106	1.34796280976795e-05	0.00796481903365307
ENSMUSG00000030963	37.1513246984293	-5.17739381071011	1.19334095643281	-4.33857045029831	1.43412513868496e-05	0.00796481903365307
ENSMUSG00000031551	37.3934502864187	-3.70831291194052	0.868842817634297	-4.26810561896292	1.97139987798806e-05	0.00948793499417743
ENSMUSG00000031725	492.701264386289	-2.54865281842813	0.657692913042141	-3.87514106946874	0.000106562947242532	0.0315045741883457
ENSMUSG00000032291	425.058918117273	1.53375647383863	0.385479634256443	3.97882621424895	6.92563389782501e-05	0.0238876655859148
ENSMUSG00000032496	44.290387821748	-5.45544107431208	1.3826859376895	-3.94553884262991	7.96207230918882e-05	0.0265766268449456
ENSMUSG00000032758	158.467746282089	-6.2841249671713	1.13629432835079	-5.53036727402487	3.19561009191122e-08	7.78560285829225e-05
ENSMUSG00000032796	615.811470529678	-2.1590033580878	0.56721675082483	-3.80631100006873	0.000141054992543379	0.0369510515276611
ENSMUSG00000033107	132.330721286615	-2.25866108644537	0.608314615644062	-3.71298178337206	0.000204831635712503	0.0492905895473285
ENSMUSG00000036083	39.9382370529894	-8.76206445378176	1.95177790901177	-4.48927329965437	7.14665587084493e-06	0.00510000149128055
ENSMUSG00000039304	637.554596749043	-1.8411238366697	0.424591363344466	-4.33622535834771	1.44950336320104e-05	0.00796481903365307
ENSMUSG00000040253	820.315592507663	-2.4503918889224	0.310972856356594	-7.87976133232837	3.28006992816761e-15	6.78810471634287e-11
ENSMUSG00000040328	35.944784045592	-2.03949519812247	0.543912223481953	-3.74967708036835	0.000177062428467754	0.0431094936134137
ENSMUSG00000040483	409.763697496046	-1.00396278760466	0.219588535984279	-4.57201822082614	4.83048922435923e-06	0.00384488363454285
ENSMUSG00000040938	173.427980497185	1.54758175558913	0.408711078586717	3.78649328748443	0.00015278822145703	0.0390364474451017
ENSMUSG00000042333	133.264435216985	-2.07347568546769	0.478391779726147	-4.33426278071634	1.46249395157679e-05	0.00796481903365307
ENSMUSG00000042808	165.462803043043	3.97581760635611	0.921221237364936	4.31581192996435	1.5901732536902e-05	0.00824412429454664
ENSMUSG00000043505	102.064301695684	-1.78571328021228	0.366072091501084	-4.87803719996773	1.0714672039647e-06	0.00128404476745994
ENSMUSG00000045868	459.970614459141	-3.03470157448165	0.639488730230962	-4.74551220532943	2.07979371540878e-06	0.0017933887891827
ENSMUSG00000046807	202.31338589936	5.69808765405257	1.28809680653919	4.4236486148599	9.70478186093783e-06	0.00627626439412839
ENSMUSG00000047230	77.255481385563	-5.82229304853842	1.38548365991866	-4.2023541792476	2.64153407036527e-05	0.0116311803374913
ENSMUSG00000047867	719.129960785982	-1.41300424780044	0.361776054740872	-3.90574287403441	9.39363559014252e-05	0.0294547406875757
ENSMUSG00000050014	176.447833969451	-1.83091277838129	0.473579815387796	-3.86611236140213	0.000110584005501313	0.032128302993298
ENSMUSG00000051682	71.837954262873	-6.40235273931748	1.4836206757923	-4.31535691284326	1.59345238841201e-05	0.00824412429454664
ENSMUSG00000054072	2677.15887155081	-2.97009389336343	0.693194250268876	-4.28464877227615	1.83028100692624e-05	0.00901849177103296
ENSMUSG00000054083	616.153572826762	5.34788712283721	1.42472969169557	3.75361526751975	0.000174302324435405	0.0429426976689369
ENSMUSG00000054435	543.586850720302	-1.75364513101774	0.376443772714084	-4.65845169485555	3.18596543638319e-06	0.002637342188238
ENSMUSG00000057465	52.8574731791385	-6.30891782224398	1.56716614730293	-4.02568536405762	5.68096082540986e-05	0.020270255910665
ENSMUSG00000057855	519.56194782049	25.6247250348249	3.90684474845223	6.55893097491948	5.41948790909652e-11	5.40935122256175e-07
ENSMUSG00000064262	288.109618940563	-1.80757459530386	0.461320646502126	-3.91826077807148	8.91901852551557e-05	0.0285740125576085
ENSMUSG00000066319	83.8065218490879	-2.37246265516332	0.580796718236853	-4.08484170221467	4.41068752995218e-05	0.0172843750227769
ENSMUSG00000067596	34.193896071251	7.54865992252765	1.95384387770193	3.86349186272049	0.00011177761853189	0.032128302993298
ENSMUSG00000069874	1692.43200603796	-1.85843662551605	0.415769349862559	-4.46987404466057	7.82656739303119e-06	0.00527795206747445
ENSMUSG00000069917	4006.31301606477	-3.47766039680706	0.906939282978703	-3.83450189232649	0.000125819003758543	0.0347176571037741
